SubjectID,StimulusType,Unnamed: 0,RT,accuracy
10001,0,61.5,258.0,0.8
10001,1,49.0126582278481,282.3544303797468,0.9875
10002,0,150.0,293.5,0.9
10002,1,148.325,349.4875,1.0
10003,0,268.4,269.6,0.75
10003,1,248.5,380.5625,1.0
10004,0,344.5,372.5,0.9
10004,1,350.15,377.65,1.0
10005,0,463.6666666666667,265.3333333333333,0.85
10005,1,448.2,342.3625,1.0
10006,0,532.0,256.3333333333333,0.85
10006,1,548.5625,335.45,1.0
10007,0,647.0,392.0,0.95
10007,1,649.075,408.7625,1.0
10008,1,749.9873417721519,367.9873417721519,0.9875
20001,0,844.0,370.0,0.95
20001,1,851.975,359.1625,1.0
20002,0,968.0,350.0,0.9
20002,1,950.2125,335.8375,1.0
20003,0,1067.5,425.0,0.9
20003,1,1047.4556962025317,455.0506329113924,0.9875
20004,0,1151.0,394.0,0.9
20004,1,1149.9620253164558,470.7974683544304,0.9875
20005,0,1212.0,290.0,0.95
20005,1,1249.0625,370.0125,1.0
20006,1,1351.2625,279.875,1.0
20007,0,1461.8333333333333,223.5,0.7
20007,1,1450.725,370.425,1.0
20008,0,1568.0,283.0,0.95
20008,1,1549.9375,348.65,1.0
30001,0,1625.0,299.6666666666667,0.85
30001,1,1650.65,350.6125,1.0
30002,0,1752.5,246.5,0.9
30002,1,1748.525,344.2125,1.0
30003,1,1850.775,425.6,1.0
30004,0,1960.2857142857142,358.57142857142856,0.65
30004,1,1948.85,319.075,1.0
30005,0,2084.0,289.0,0.95
30005,1,2050.3376623376626,307.1818181818182,0.9625
30006,0,2138.5,282.5,0.8
30006,1,2148.85,385.575,1.0
30007,0,2259.5,336.5,0.9
30007,1,2248.175,355.475,1.0
30008,0,2360.0,270.3333333333333,0.85
30008,1,2351.075,393.175,1.0
40001,0,2441.0,272.0,0.85
40001,1,2452.0,337.725,1.0
40002,1,2550.15,357.2,1.0
40003,1,2649.725,470.825,1.0
40004,0,2716.0,255.0,0.95
40004,1,2749.1625,404.9125,1.0
40005,0,2864.3333333333335,237.66666666666666,0.85
40005,1,2849.6375,310.9125,1.0
40006,0,2936.6666666666665,260.6666666666667,0.85
40006,1,2950.975,309.8625,1.0
50001,1,3047.9875,352.8375,1.0
50002,0,3133.6666666666665,316.6666666666667,0.85
50002,1,3151.475,357.0,1.0
50003,0,3269.0,445.0,0.95
50003,1,3249.5125,449.2375,1.0
60001,1,3348.6375,390.3625,1.0
60002,0,3452.75,297.25,0.8
60002,1,3450.8,296.4375,1.0
60003,1,3550.1875,386.8125,1.0
60004,1,3650.0125,371.425,1.0
60005,0,3738.0,207.4,0.75
60005,1,3750.8375,306.0,1.0
60006,0,3809.0,283.0,0.95
60006,1,3849.5875,288.85,1.0
60007,0,3960.0,241.0,0.95
60007,1,3951.025,283.8625,1.0
60008,0,4062.25,515.5,0.8
60008,1,4048.721518987342,324.65822784810126,0.9875
60009,1,4150.025,402.9,1.0
70001,0,4260.416666666667,181.83333333333334,0.4
70001,1,4248.5822784810125,297.1645569620253,0.9875
70002,0,4353.333333333333,278.77777777777777,0.55
70002,1,4349.070422535211,351.16901408450707,0.8875
70003,0,4421.0,386.0,0.95
70003,1,4447.775,323.275,1.0
70004,0,4546.714285714285,523.2857142857143,0.5
70004,1,4547.385714285714,502.0571428571429,0.813953488372093
70005,0,4674.0,381.0,0.95
70005,1,4643.805194805195,483.4935064935065,0.9625
70006,0,4714.5,299.0,0.9
70006,1,4749.05,336.55,1.0
70007,0,4838.75,373.75,0.8
70007,1,4847.191780821918,466.3150684931507,0.9125
70008,0,4945.0,420.77777777777777,0.35714285714285715
70008,1,4949.181818181818,402.3376623376623,0.8953488372093024
90001,0,5067.0,289.0,0.95
90001,1,5049.5,328.325,1.0
90002,0,5184.0,238.0,0.95
90002,1,5150.7375,305.0375,1.0
90003,0,5239.5,271.0,0.8
90003,1,5248.375,313.775,1.0
90004,0,5358.0,249.5,0.9
90004,1,5350.7125,357.725,1.0
90005,0,5448.0,234.0,0.95
90005,1,5445.9375,307.9375,1.0
90006,0,5515.0,288.0,0.95
90006,1,5548.217948717948,402.3205128205128,0.975
90007,0,5637.5,290.25,0.8
90007,1,5647.8375,325.5125,1.0
90008,1,5750.329113924051,369.49367088607596,0.9875
90009,0,5825.0,354.0,0.95
90009,1,5851.0625,362.875,1.0
90010,0,5958.0,232.33333333333334,0.85
90010,1,5948.425,350.55,1.0
90011,0,6032.0,193.0,0.6
90011,1,6024.272727272727,391.8787878787879,0.4125
90012,0,6151.0,342.0,0.95
90012,1,6150.2375,427.4375,1.0
90013,1,6247.6125,439.7,1.0
90014,0,6387.0,50.0,0.95
90014,1,6350.625,328.1875,1.0
100001,0,6408.0,241.0,0.9
100001,1,6451.9,297.0875,1.0
100002,0,6536.0,220.33333333333334,0.85
100002,1,6549.525,305.825,1.0
100003,0,6638.666666666667,274.0,0.85
100003,1,6649.7875,307.2875,1.0
100004,0,6750.5,308.5,0.9
100004,1,6751.45,360.775,1.0
100005,0,6845.0,305.5,0.9
100005,1,6851.2875,343.175,1.0
100006,0,6946.666666666667,241.66666666666666,0.85
100006,1,6949.15,341.3,1.0
100007,0,7045.5,278.5,0.8
100007,1,7049.05,305.45,1.0
100008,0,7165.6,295.2,0.75
100008,1,7148.275,355.6625,1.0
